date,time,question,answer
07/05/26,20:38:03,"What is the most embarrassing thing you Googled this week?","i dont know"
07/05/26,20:38:09,"If all your private chats were published to your status, where would you hide?","in a bush"
07/05/26,20:38:21,"How many junk apps do you have installed that you never even open?","maybe 400+?"
07/05/26,20:38:31,"If all your private chats were published to your status, where would you hide?","on a jails.."
07/05/26,20:38:45,"If your life had patch notes, which bug would you fix first?","friends."
07/05/26,20:38:50,"What percentage of your battery have you wasted on mindless scrolling?","13%"
